                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1199,                 1.4084,                 1.4096,                0.76189,                0.56395,                0.65293,                 0.4395,                 1.2745,                 1.4163,                 1.4998,               0.070219,               0.003309,               0.003309
                      1,                 1.1012,                 1.3847,                 1.3967,                0.61392,                0.55958,                0.65562,                0.45521,                 1.2918,                 1.6862,                 1.4858,               0.040153,              0.0065766,              0.0065766
                      2,                 1.1669,                 1.5014,                 1.4386,                0.47666,                0.53753,                0.55974,                0.35293,                 1.3709,                 1.7715,                 1.5755,               0.010021,              0.0097782,              0.0097782
                      3,                 1.1723,                 1.5514,                 1.4447,                0.46542,                0.37434,                0.41574,                0.27045,                 1.4728,                 2.4826,                 1.6428,               0.009703,               0.009703,               0.009703
                      4,                 1.1732,                 1.5509,                 1.4537,                0.51326,                0.49757,                0.51065,                0.33661,                 1.4563,                 1.9345,                  1.642,               0.009703,               0.009703,               0.009703
                      5,                 1.1666,                 1.5469,                 1.4441,                0.57214,                0.51197,                0.58797,                0.38114,                 1.3483,                 1.4884,                 1.5748,               0.009604,               0.009604,               0.009604
                      6,                   1.18,                 1.5378,                 1.4492,                0.60134,                0.51919,                0.58883,                0.37102,                 1.4592,                 1.9433,                 1.6654,               0.009505,               0.009505,               0.009505
                      7,                 1.1607,                 1.4898,                 1.4353,                0.49313,                0.62371,                0.60801,                0.40055,                 1.3818,                 1.6943,                 1.6054,               0.009406,               0.009406,               0.009406
                      8,                 1.1665,                 1.4904,                 1.4408,                0.66059,                0.60937,                0.67478,                0.44707,                 1.2617,                 1.3653,                 1.4846,               0.009307,               0.009307,               0.009307
                      9,                  1.162,                 1.4681,                 1.4376,                0.43071,                0.55159,                 0.5045,                0.34688,                 1.3348,                 1.7759,                 1.5431,               0.009208,               0.009208,               0.009208
                     10,                 1.1518,                 1.4591,                 1.4349,                0.62217,                 0.4855,                0.53914,                0.37115,                 1.2857,                 1.6559,                  1.525,               0.009109,               0.009109,               0.009109
                     11,                 1.1492,                 1.4255,                 1.4316,                0.54942,                0.63033,                0.58493,                0.37561,                 1.3967,                 1.6311,                 1.6312,                0.00901,                0.00901,                0.00901
                     12,                 1.1454,                 1.4213,                 1.4262,                0.51066,                0.53632,                0.53919,                0.34264,                 1.3487,                 1.8767,                 1.5911,               0.008911,               0.008911,               0.008911
                     13,                 1.1362,                 1.3915,                 1.4154,                0.61218,                 0.5222,                0.60058,                0.39406,                  1.337,                 1.9934,                 1.5311,               0.008812,               0.008812,               0.008812
                     14,                 1.1319,                 1.3975,                 1.4143,                0.60445,                0.58659,                0.64267,                0.42457,                 1.2869,                 1.3559,                  1.531,               0.008713,               0.008713,               0.008713
                     15,                 1.1393,                 1.3741,                 1.4184,                0.52783,                0.70693,                  0.699,                0.47782,                  1.259,                 1.4086,                 1.4843,               0.008614,               0.008614,               0.008614
                     16,                 1.1147,                 1.3506,                 1.4123,                0.60256,                0.57743,                0.64353,                0.43886,                 1.3158,                 1.4551,                 1.5497,               0.008515,               0.008515,               0.008515
                     17,                 1.1242,                  1.347,                 1.4086,                0.73503,                0.57685,                0.67216,                0.45404,                 1.2629,                 1.2573,                 1.4836,               0.008416,               0.008416,               0.008416
                     18,                 1.1173,                 1.3475,                 1.4036,                0.65178,                0.56001,                0.61574,                0.41248,                 1.3141,                 1.7682,                 1.5576,               0.008317,               0.008317,               0.008317
                     19,                 1.1201,                 1.3466,                 1.4099,                0.57273,                0.62797,                0.67215,                 0.4541,                 1.2291,                 1.2272,                 1.4745,               0.008218,               0.008218,               0.008218
                     20,                 1.1134,                  1.305,                 1.3972,                0.68804,                0.61163,                0.68535,                0.45762,                 1.2995,                 1.3323,                 1.5344,               0.008119,               0.008119,               0.008119
                     21,                 1.1203,                  1.319,                 1.4015,                0.63077,                0.70019,                0.70075,                0.48319,                 1.2575,                 1.2854,                 1.4786,                0.00802,                0.00802,                0.00802
                     22,                 1.1082,                 1.2982,                 1.3956,                0.61396,                0.64366,                0.66482,                0.42654,                 1.2896,                  1.453,                 1.5454,               0.007921,               0.007921,               0.007921
                     23,                  1.104,                 1.2903,                 1.3948,                0.57223,                0.61383,                0.61732,                0.43009,                 1.2587,                 1.5555,                 1.4803,               0.007822,               0.007822,               0.007822
                     24,                 1.1043,                  1.287,                 1.3969,                0.62612,                0.71636,                0.70656,                0.48085,                 1.1974,                 1.1209,                 1.4138,               0.007723,               0.007723,               0.007723
                     25,                 1.0989,                 1.2503,                 1.3911,                0.67842,                0.64069,                0.72475,                0.50333,                  1.218,                 1.2161,                 1.4561,               0.007624,               0.007624,               0.007624
                     26,                 1.0919,                 1.2576,                 1.3847,                0.59589,                0.66736,                0.70837,                0.48561,                 1.1805,                 1.2285,                 1.4195,               0.007525,               0.007525,               0.007525
                     27,                 1.0927,                 1.2501,                 1.3892,                0.69696,                0.66354,                 0.7143,                0.49461,                 1.2441,                 1.2376,                 1.4734,               0.007426,               0.007426,               0.007426
                     28,                 1.0896,                 1.2616,                 1.3836,                0.74006,                0.59065,                0.70998,                0.48167,                 1.2497,                 1.2243,                 1.4746,               0.007327,               0.007327,               0.007327
                     29,                  1.085,                 1.2318,                 1.3757,                0.65787,                0.68409,                0.77027,                0.53108,                 1.2039,                 1.1289,                 1.4214,               0.007228,               0.007228,               0.007228
                     30,                 1.0835,                 1.2225,                 1.3758,                0.69689,                0.63396,                0.69919,                0.47467,                 1.2425,                 1.3032,                 1.4744,               0.007129,               0.007129,               0.007129
                     31,                  1.077,                 1.2009,                 1.3733,                0.72373,                0.72695,                0.77888,                0.55007,                 1.1617,                 1.0106,                 1.4175,                0.00703,                0.00703,                0.00703
                     32,                 1.0784,                 1.2014,                 1.3707,                0.64172,                0.71635,                0.77283,                0.53547,                 1.1977,                 1.0463,                 1.4552,               0.006931,               0.006931,               0.006931
                     33,                 1.0802,                 1.2084,                  1.375,                0.64295,                0.72037,                0.71228,                0.50757,                 1.1997,                 1.1432,                 1.4462,               0.006832,               0.006832,               0.006832
                     34,                 1.0725,                 1.1912,                 1.3698,                0.67678,                0.67522,                0.74009,                0.53303,                 1.1801,                 1.1167,                 1.4194,               0.006733,               0.006733,               0.006733
                     35,                 1.0753,                 1.1966,                  1.368,                0.74514,                0.69812,                  0.793,                 0.5594,                 1.1642,                0.94643,                 1.3989,               0.006634,               0.006634,               0.006634
                     36,                 1.0643,                 1.1666,                 1.3587,                0.81088,                0.66233,                0.79559,                0.55657,                 1.1874,                0.96382,                 1.4183,               0.006535,               0.006535,               0.006535
                     37,                 1.0621,                 1.1816,                 1.3677,                0.68994,                0.71508,                0.79445,                0.55436,                 1.2011,                 1.0236,                 1.4598,               0.006436,               0.006436,               0.006436
                     38,                  1.054,                 1.1497,                 1.3573,                0.71254,                0.70064,                0.78879,                0.55133,                 1.1906,                0.96352,                 1.4152,               0.006337,               0.006337,               0.006337
                     39,                  1.056,                 1.1453,                 1.3576,                0.66763,                0.73721,                0.78276,                0.54175,                 1.1645,                 1.0145,                 1.3885,               0.006238,               0.006238,               0.006238
                     40,                 1.0545,                  1.141,                 1.3511,                0.69266,                0.67374,                0.75661,                 0.5264,                 1.1919,                 1.0906,                 1.4293,               0.006139,               0.006139,               0.006139
