NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
1,삼성전자,65100,하락400,-0.61%,100,3886328,5969783,51.58,2775710,8.08,17.07
2,LG에너지솔루션,579000,하락3000,-0.52%,500,1354860,234000,5.39,71347,175.19,5.75
3,SK하이닉스,87100,하락1100,-1.25%,5000,634090,728002,49.52,434187,28.44,3.56
4,LG화학,797000,상승7000,+0.89%,5000,562621,70592,48.28,81396,33.81,6.95
5,삼성바이오로직스,787000,하락1000,-0.13%,2500,560139,71174,10.66,15996,68.97,11.42
6,삼성SDI,756000,하락2000,-0.26%,5000,519860,68765,49.58,45976,27.26,12.52
7,삼성전자우,55000,하락500,-0.90%,100,452588,822887,71.81,186180,6.83,N/A
8,현대차,194000,상승400,+0.21%,5000,410371,211532,31.34,116059,7.30,9.36
9,POSCO홀딩스,414500,상승2500,+0.61%,5000,350548,84571,40.84,450367,11.37,6.11
10,기아,84900,하락500,-0.59%,5000,344153,405363,37.01,346125,6.36,14.57
11,포스코퓨처엠,414500,상승500,+0.12%,500,321085,77463,8.42,471348,271.45,4.87
12,NAVER,192100,상승700,+0.37%,100,315138,164049,47.31,173141,41.45,3.29
13,카카오,58400,하락200,-0.34%,100,260264,445657,26.13,350282,19.23,13.54
14,셀트리온,170400,상승100,+0.06%,1000,239956,140819,20.41,87504,46.34,13.35
15,현대모비스,229000,상승2000,+0.88%,5000,215913,94285,36.88,44246,8.71,6.80
16,KB금융,50100,상승650,+1.31%,5000,204857,408897,71.69,329951,4.69,9.17
17,삼성물산,108000,하락300,-0.28%,100,201838,186887,17.64,37569,9.96,7.16
18,LG전자,112400,하락500,-0.44%,5000,183940,163648,28.29,134328,16.99,6.61
19,신한지주,35800,상승150,+0.42%,5000,180829,505108,62.41,212976,4.10,9.70
20,SK이노베이션,187100,하락400,-0.21%,5000,173003,92466,23.95,103361,11.17,8.49
21,LG,90600,하락1100,-1.20%,5000,142515,157301,35.74,31451,7.34,8.48
22,삼성생명,65400,상승200,+0.31%,500,130800,200000,15.57,29889,8.26,5.73
23,하나금융지주,42250,상승50,+0.12%,5000,125019,295903,70.98,157716,3.54,10.06
24,SK,169400,하락1100,-0.65%,200,123998,73198,23.38,26110,11.52,5.13
25,한국전력,18750,상승30,+0.16%,5000,120368,641964,14.49,240469,-0.49,-46.91
26,두산에너빌리티,18760,상승220,+1.19%,5000,119747,638308,13.00,3124437,-15.04,-11.70
27,KT&G,86100,하락100,-0.12%,5000,118209,137292,44.40,44012,11.64,11.00
28,카카오뱅크,23500,상승100,+0.43%,5000,112040,476767,13.49,183013,42.50,4.68
29,삼성전기,145100,하락1200,-0.82%,5000,108381,74694,29.74,56649,11.48,13.76
30,고려아연,543000,하락11000,-1.99%,5000,107857,19863,21.84,12675,13.38,9.38
31,HMM,22000,상승350,+1.62%,5000,107589,489039,11.15,724807,1.07,64.98
32,SK텔레콤,48250,하락300,-0.62%,100,105587,218833,44.20,56954,11.57,7.97
33,LG생활건강,670000,하락4000,-0.59%,5000,104642,15618,34.88,8352,50.18,4.41
34,하이브,246000,하락5500,-2.19%,500,101729,41353,17.48,81296,194.47,1.87
35,삼성화재,214000,상승1500,+0.71%,500,101382,47375,51.99,10013,8.45,9.70
36,HD현대중공업,111800,상승1800,+1.64%,5000,99248,88773,6.39,51882,-28.19,-6.47
37,크래프톤,195300,상승2900,+1.51%,100,96160,49237,30.58,37974,19.16,10.29
38,한화솔루션,53700,하락500,-0.92%,5000,92306,171893,24.66,373463,28.81,4.21
39,삼성에스디에스,118400,상승400,+0.34%,500,91615,77378,15.48,21669,8.33,14.23
40,S-Oil,78900,하락1100,-1.37%,2500,88828,112583,79.83,109765,4.37,27.20
41,대한항공,23850,상승400,+1.71%,5000,87821,368221,15.25,622979,4.97,21.95
42,우리금융지주,11700,하락40,-0.34%,5000,85183,728061,39.86,477857,2.71,11.51
43,엔씨소프트,372000,하락2000,-0.53%,500,81669,21954,45.39,22552,18.74,13.73
44,기업은행,10190,상승10,+0.10%,5000,81258,797426,13.88,235847,2.93,9.85
45,아모레퍼시픽,138400,하락3500,-2.47%,500,80954,58493,25.11,63081,71.08,2.81
46,KT,30450,하락200,-0.65%,5000,79509,261112,40.51,166310,6.30,7.99
47,카카오페이,56500,0,0.00%,500,75656,133905,43.44,49352,138.82,3.08
48,롯데케미칼,176600,하락600,-0.34%,5000,75541,42775,24.07,17401,103.34,0.43
49,메리츠금융지주,42700,하락200,-0.47%,500,73268,171589,12.91,58251,5.24,30.32
50,KODEX 200,33795,하락55,-0.16%,0,62284,184300,3.85,515890,N/A,N/A
51,현대글로비스,166000,상승600,+0.36%,500,62250,37500,47.11,20983,5.23,18.78
52,SK아이이테크놀로지,87300,하락3200,-3.54%,1000,62243,71298,7.24,344397,-209.86,-1.35
53,한국조선해양,85900,상승600,+0.70%,5000,60794,70773,20.63,38845,-28.03,-2.22
54,LG이노텍,255500,하락3000,-1.16%,5000,60469,23667,21.05,29636,6.17,25.85
55,SK바이오사이언스,76900,상승100,+0.13%,500,59047,76784,3.91,112084,48.18,N/A
56,삼성엔지니어링,30100,0,0.00%,5000,58996,196000,46.69,118555,8.87,28.32
57,DB손해보험,82800,상승400,+0.49%,500,58622,70800,44.07,24238,5.96,16.45
58,LG디스플레이,16020,하락60,-0.37%,5000,57322,357816,20.10,289269,-1.87,-26.71
59,SK스퀘어,40450,하락300,-0.74%,100,57224,141468,42.23,47466,22.03,1.55
60,오리온,143900,하락100,-0.07%,500,56892,39536,41.43,19317,14.50,16.47
61,한국항공우주,57900,상승2400,+4.32%,5000,56438,97475,26.95,988165,47.65,8.78
62,코스모신소재,183600,상승3400,+1.89%,1000,56275,30651,7.06,158178,201.54,12.13
63,넷마블,65400,하락2600,-3.82%,100,56214,85954,22.38,88300,-6.86,-14.56
64,F&F,145700,상승200,+0.14%,100,55813,38307,12.40,17146,12.63,60.40
65,한화에어로스페이스,110000,상승1700,+1.57%,5000,55693,50630,33.49,236453,27.73,6.98
66,SK바이오팜,70900,상승400,+0.57%,500,55524,78313,6.57,30723,-39.83,-36.66
67,포스코인터내셔널,31300,상승50,+0.16%,5000,55064,175923,5.12,173371,6.55,15.79
68,삼성중공업,5790,상승30,+0.52%,1000,50952,880000,15.82,1320307,-8.22,-16.08
69,맥쿼리인프라,12410,상승10,+0.08%,0,50241,404846,13.82,39047,N/A,N/A
70,현대제철,37400,상승250,+0.67%,5000,49909,133446,24.55,129931,4.90,5.56
71,한온시스템,9230,하락150,-1.60%,100,49270,533800,16.42,124114,242.89,0.89
72,LG유플러스,11240,하락50,-0.44%,5000,49075,436611,38.92,71477,7.40,8.37
73,CJ제일제당,320000,상승2000,+0.63%,5000,48173,15054,24.41,5344,8.80,9.26
74,TIGER CD금리투자KIS(합성),52235,상승15,+0.03%,0,47771,91454,0.00,22245,N/A,N/A
75,두산밥캣,47650,하락50,-0.10%,500,47769,100249,34.82,38033,7.42,13.78
76,HD현대,60300,상승500,+0.84%,1000,47633,78993,18.79,19793,3.38,20.43
77,현대건설,39900,상승450,+1.14%,5000,44431,111356,24.86,80352,10.97,5.49
78,한국타이어앤테크놀로지,35850,하락250,-0.69%,500,44409,123875,37.61,27583,6.43,8.14
79,유한양행,56100,하락300,-0.53%,1000,42994,76639,20.07,30614,45.87,4.86
80,미래에셋증권,7000,하락30,-0.43%,5000,42372,605316,13.03,96144,8.43,6.17
81,강원랜드,19580,0,0.00%,500,41890,213940,17.93,92891,36.26,3.47
82,SKC,108500,하락400,-0.37%,5000,41087,37868,11.62,40363,-60.11,-3.67
83,금양,70400,상승700,+1.00%,500,40867,58050,5.05,886961,-128.23,-24.34
84,금호석유,138500,상승200,+0.14%,5000,40600,29314,21.27,8623,4.47,19.11
85,한미약품,317500,상승1000,+0.32%,2500,39885,12562,16.96,9665,48.17,9.89
86,코웨이,52100,상승400,+0.77%,500,38450,73800,61.37,18988,8.39,21.72
87,GS,40600,하락300,-0.73%,5000,37724,92915,25.04,23481,1.79,18.86
88,메리츠증권,6100,0,0.00%,1000,36184,593181,14.58,0,5.11,15.26
89,현대차2우B,100100,하락100,-0.10%,5000,36157,36121,62.96,6612,3.76,N/A
90,삼성카드,30550,상승200,+0.66%,5000,35395,115859,6.70,12992,5.69,8.08
91,KODEX KOFR금리액티브(합성),102725,상승5,0.00%,0,35319,34382,0.00,58253,N/A,N/A
92,아모레G,41500,하락1050,-2.47%,500,34220,82458,10.12,51824,64.04,1.87
93,호텔신라,86500,0,0.00%,5000,33950,39248,20.27,40142,-68.98,-8.99
