,원문,번역문
0,그들 체면이 말이 아닙니다.,They ought to be ashamed of their reputation.
1,한화의 공격력이 나아지지 않는다면 지난해와 같은 성적은 기대하기 어렵다.,"If Hanwha's offense doesn't improve, it's hard to expect the same performance as last year."
2,"오프라인 프로그램에서는 창의적 사고기법과 문제해결방법, 의사소통 능력과 협업능력 등 21세기 미래사회가 요구하는 창의성과 인성 관련 교육이 제공될 예정이다.","In the offline program, creativity and character-related education required for the future society of the 21st century will be provided, including creative thinking techniques, problem solving methods, communication skills and ability to collaborate."
3,"행사에는 유주현 대한건설협회 회장을 비롯해 최영묵 건설공제조합 이사장, 임영헌 대한건설협회 사회공헌사업추진위원회 위원장, 이상호 한국건설산업연구원장 등 100여명이 참석했다.","More than 100 people attended the event, including the chairman of the Construction Association of Korea Yoo Joo-hyun, Chairman of the Construction Guarantee Cooperative Choi Young-muk, Chairman of the Construction Association of Korea's Committee for Promotion of Social Contribution Projects Lim Young-hyun, and Chairman of Construction Economy Research of Korea Lee Sang-ho."
4,이들은 데이터 무제한 요금제가 있다는 것에 놀랐다.,They were surprised that there was an unlimited data plan.
5,"찾을 수가 없네요, 어느 쪽 벽에 붙어 있나요?","I can't find it, which wall is it posted on?"
6,"금요경마의 경우 4일에는 부경시행 13개 경주로만 발매되며, 11·18·25일에는 부경시행 11개 경주, 제주중계 4개경주가 운영돼 총 15개 경주가 발매된다.","In the case of the horse race of Friday, only 13 races for Bugyeong will be released on the 4th, while 11 races for Bugyeong City and 4 races for Jeju Island will be operated on the 11th,18th, and 25th so 15 races will be released in total."
7,이 글귀와 소탑은 사리갖춤이 704년 중국에서 한역된 『무구정광대다라니경』에 영감을 받아 장식되고 봉안되었음을 알려주는 의미있는 자료이다.,"This statement and the miniature pagodas are meaningful in that the decoration and enshrinement of the sarira reliquary were inspired by ""the Spotless Pure Light Dharani Sutra"", which was translated into Chinese in 704."
8,그는 친절하게도 내게 길 안내를 해주었어.,He was so kind as to show me the way.
9,구청장은 예산의 범위에서 우수 자원봉사자에 대한 표창 및 선진지 견학 등 인센티브를 지급할 수 있다.,"The head of the Gu may pay incentives, such as commendation and field trips to excellent volunteers within budget."
10,하지만 패스트푸드는 장점보다 단점이 더 많습니다.,But fast food has more bad sides than good sides.
11,왜냐면 숙제가 너무 많아서 집에 있었어.,I was at home because there were too many assignments.
12,저를 조금만 더 기다려주세요.,Please wait a little longer for me.
13,종합토론시간에는 전국성폭력상담소 이미순 대표와 경기도의회 여성가족교육협력위원회 권미나 의원이 성폭력 예방을 주제로 토론을 이어가게 된다.,"During the discussion, Lee Mi-soon, representative of the National Sexual Violence Counseling Center, and Kwon, Mina, a member of Women's Family Education and Cooperation Committee of Gyeonggido Assembly, will continue the discussion on preventing sexual violence."
14,2010년 발표된 ‘간 총리 담화’에는 일제의 식민지 지배가 초래한 다대한 손해와 아픔에 대해 재차 통절한 반성과 마음에서 우러나오는 사죄의 마음을 표명한다는 내용이 들어 있다.,"""Statement by Prime Minister Kan"", released in 2010, states that he expresses his sincere remorse and heartfelt apology for the huge damage and suffering caused by Japan's colonial rule."
15,지난해 10월 CJ가 보유한 제주도 클럽나인브릿지에서는 한국 최초로 미국프로골프(PGA) 투어 정규 대회인 ‘더씨제이컵’이 열리기도 했다.,"In October last year, CJ's Club Nine Bridges on Jeju Island held Korea's first regular PGA Tour event, ""The CJ Cup""."
16,복합민원을 심의하기 위해 「민원 처리에 관한 법률 시행령」 제36조에 따른 민원실무심의회를 설치하고 다음 각 호의 사항과 같이 운영한다.,"In order to deliberate on a complex civil petition, the civil petition deliberation committee referred to in Article 36 of the Enforcement Decree of the Civil Petitions Treatment Act shall be established and operated in accordance with the following subparagraphs:"
17,"윤리특별위원회는 청구서와 답변서에 의하여 심사한다. 다만, 기일 내에 답변서를 제출하지 아니한 때에는 청구서만으로 심사를 할 수 있다.","The Special Committee on Ethics shall conduct an examination in accordance with the written request and written answer: Provided, That where a written answer has not been submitted within the fixed period, the examination may be conducted only by the written request."
18,페이스북은 독일 당국이 소셜미디어 시장에서 벌어지는 치열한 경쟁 상황을 잘 알지 못하고 내린 결정이라고 반발했다.,Facebook said it was a decision made by German authorities without knowing the fierce competition in the social media market.
19,우리는 아직 서류 내용을 검토하지 못했지만 이른 시일 내에 모든 서류를 최종으로 확인하겠습니다.,We have not yet reviewed contents of the documents but we will check all of them as soon as possible.
20,하지만 오늘 금요일이라서 중간에 체증이 있을 거야.,But there will be a traffic jam in the middle because it's Friday.
21,특히 마동석의 압도적인 아우라를 담은 뒷모습만으로도 그가 <성난황소>를 통해 종전 작품들을 뛰어넘는 통쾌한 카타르시스와 액션의 클라이맥스를 보여줄 것을 예고한다.,"In particular, the back of Ma Dong-seok's overwhelming aura shows that he will show his cheerful catharsis and climax of action through the ""Angry Bull."""
22,윌리엄은 컴퓨터 사용의 이점은 이것이라고 생각했어요.,William thinks this is the advantage of using computers.
23,"구역을 세분화시켜 동서남북 원팀드, 파워풀, 와이즈, 브레이브 총 4개 야드로 체계적인 시스템 아래 나눠서 관리하는 방식은 오랜 투자와 시간이 있기 때문에 가능했다.","The method of subdividing the zones into four yards of one-team, power pool, wise and brave was possible because of long investment and time."
24,이 짐 여기에다 실어도 되나요?,Can I load this baggage here?
25,누구나 처음에는 마음만 앞서게 돼서 속상한 일이 많은 것 같아.,Everyone has upsetting moments at first because their mind races before they do.
26,"이 기간 동안 전국 현대해상 하이카프라자를 방문하는 고객에게는 하이카프라자 정비기사들이 배터리 전압, 타이어 공기압 체크 등 총 29가지 항목의 무상점검 서비스를 제공한다.","During this period, to customers who visit Hi-Car Plazas nationwide of Hyundai Marine & Fire Insurance, maintenance technicians will provide free maintenance services for a total of 29 items including battery voltage and tire pressure checks."
27,저는 옥죽포 해수욕장이 굉장히 특이하다고 들었어요.,I heard that Ok Jook Po Beach is very unique.
28,사람들이 많이 오기 전에 빨리 엘리베이터에 타자.,Let's get on the elevator quickly before it gets crowded.
29,뭔가 요즘 계속 사진 찍다 보니까 바다를 업그레이드하고 싶다는 생각도 굉장히 많이 드네요.,I am thinking to have a better body shape while I am taking pictures nowadays.
30,"저의 장점으론 정이 많은 것이고, 단점으론 성격이 급한 것입니다.","My strength is that I am warm-hearted, and my weakness is that I am impatient."
31,입학축하금의 지원대상자는 초등학교 입학일 기준으로 구에 주민등록이 되어 있는 셋째 자녀 이상의 최초 초등학교 입학아동의 부 또는 모로 한다.,Persons eligible for support for the congratulatory money for going to a school shall be the father or mother of the first elementary school attending of the third child or a child after the third child registered as a resident in the Gu as of the date of entrance into the elementary school.
32,송영무 국방부 장관이 군내 성폭력을 주제로 한 간담회에서 성차별적인 발언을 해 다시 한번 구설에 올랐다.,National Defense Minister Song Young-moo has once again come under fire for making sexist remarks at a meeting on sexual violence in the military.
